P,rounds,bt_avg_lat_s,bt_avg_lat_us,bt_min_lat_s,bt_min_lat_us,bt_max_lat_s,bt_max_lat_us,bt_avg_wait_s,bt_avg_wait_us,bt_min_wait_s,bt_min_wait_us,bt_max_wait_s,bt_max_wait_us,bt_sends,bt_recvs,bt_total_msgs,diss_avg_lat_s,diss_avg_lat_us,diss_min_lat_s,diss_min_lat_us,diss_max_lat_s,diss_max_lat_us,diss_avg_wait_s,diss_avg_wait_us,diss_min_wait_s,diss_min_wait_us,diss_max_wait_s,diss_max_wait_us,diss_sends,diss_recvs,diss_total_msgs,tour_avg_lat_s,tour_avg_lat_us,tour_min_lat_s,tour_min_lat_us,tour_max_lat_s,tour_max_lat_us,tour_avg_wait_s,tour_avg_wait_us,tour_min_wait_s,tour_min_wait_us,tour_max_wait_s,tour_max_wait_us,tour_sends,tour_recvs,tour_total_msgs
2,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,2.758e-06,2.758,2.384e-06,2.384,4.3631e-05,43.631,-0.000137629,-137.62900000000002,-0.00027585,-275.85,0.000596762,596.7620000000001,2.0,2.0,4.0,1.898e-06,1.8980000000000001,2.38e-07,0.238,8.4639e-05,84.639,-0.000469561,-469.56100000000004,-0.000939608,-939.608,0.000435591,435.591,2.0,2.0,4.0,3.147e-06,3.1470000000000002,9.54e-07,0.9540000000000001,7.2718e-05,72.718,-0.000513508,-513.5079999999999,-0.001027822,-1027.8220000000001,0.000496387,496.38700000000006,2.0,2.0,4.0
5,10000,3.39e-06,3.39,1.669e-06,1.669,0.002806902,2806.902,-3.5501e-05,-35.501,-0.000275612,-275.612,0.002971411,2971.411,4.0,4.0,8.0,2.84e-06,2.84,2.623e-06,2.623,4.6492e-05,46.492000000000004,-3.5868e-05,-35.868,-0.000276089,-276.089,0.001302719,1302.7189999999998,6.0,6.0,12.0,3.272e-06,3.2720000000000002,2.623e-06,2.623,3.171e-05,31.71,-3.9527e-05,-39.527,-0.000287771,-287.77099999999996,0.001320839,1320.8390000000002,4.0,4.0,8.0
6,10000,6.587e-06,6.587,2.384e-06,2.384,0.000279903,279.903,-0.000527274,-527.274,-0.002602339,-2602.339,0.002331495,2331.495,6.0,6.0,12.0,3.339e-06,3.339,9.54e-07,0.9540000000000001,1.8358e-05,18.358,0.00050097,500.96999999999997,4.77e-07,0.47700000000000004,0.002654552,2654.552,8.0,8.0,16.0,5.08e-06,5.08,3.338e-06,3.338,2.1458e-05,21.458000000000002,0.000534107,534.1070000000001,4.77e-07,0.47700000000000004,0.002643347,2643.3469999999998,6.0,6.0,12.0
7,10000,6.683e-06,6.683,3.338e-06,3.338,0.000226021,226.021,-0.000353818,-353.818,-0.002605915,-2605.915,0.002836943,2836.943,8.0,8.0,16.0,5.422e-06,5.422,3.099e-06,3.0989999999999998,0.000302076,302.076,-3.3611e-05,-33.611,-0.002170324,-2170.324,0.003463745,3463.745,15.0,15.0,30.0,5.343e-06,5.343,3.576e-06,3.576,0.000275612,275.612,-2.5479e-05,-25.479000000000003,-0.002268314,-2268.314,0.003224134,3224.134,8.0,8.0,16.0
8,10000,7.825e-06,7.825,4.768e-06,4.768,0.000337362,337.362,0.000111009,111.009,-0.002123117,-2123.1169999999997,0.003412247,3412.2470000000003,10.0,10.0,20.0,6.133e-06,6.133,3.099e-06,3.0989999999999998,0.000197887,197.887,9.4046e-05,94.046,-0.000394583,-394.583,0.002592087,2592.087,18.0,18.0,36.0,5.237e-06,5.237,3.099e-06,3.0989999999999998,0.000188351,188.351,8.2804e-05,82.804,-2.5034e-05,-25.034000000000002,0.002490044,2490.044,10.0,10.0,20.0
9,10000,7.803e-06,7.803,4.053e-06,4.053,0.000426769,426.769,0.000361629,361.62899999999996,-0.002127886,-2127.886,0.004336834,4336.834000000001,12.0,12.0,24.0,4.9e-06,4.8999999999999995,4.053e-06,4.053,6.1512e-05,61.512,9.1235e-05,91.235,-7.8201e-05,-78.20100000000001,0.002462149,2462.149,21.0,21.0,42.0,5.575e-06,5.575,3.099e-06,3.0989999999999998,3.1233e-05,31.232999999999997,0.000104304,104.304,-2.408e-05,-24.08,0.002486467,2486.467,12.0,12.0,24.0
10,10000,8.439e-06,8.439,3.576e-06,3.576,0.000259161,259.161,0.000323175,323.17499999999995,1.192e-06,1.192,0.002894402,2894.402,14.0,14.0,28.0,4.73e-06,4.7299999999999995,1.192e-06,1.192,0.00018692,186.92000000000002,7.2361e-05,72.36099999999999,-8.0109e-05,-80.109,0.002623558,2623.558,24.0,24.0,48.0,7.055e-06,7.055000000000001,3.576e-06,3.576,0.000144482,144.482,8.4095e-05,84.095,-5.9605e-05,-59.605000000000004,0.002611637,2611.637,14.0,14.0,28.0
11,10000,8.796e-06,8.796,4.292e-06,4.292,0.000211954,211.954,0.000322092,322.092,1.431e-06,1.4309999999999998,0.003405571,3405.571,16.0,16.0,32.0,6.636e-06,6.635999999999999,3.338e-06,3.338,0.002810478,2810.478,0.000112393,112.393,-0.001345873,-1345.873,0.003480434,3480.434,36.0,36.0,72.0,8.787e-06,8.787,3.099e-06,3.0989999999999998,0.000211239,211.239,-6.5311e-05,-65.31099999999999,-0.000345707,-345.707,0.003116369,3116.3689999999997,16.0,16.0,32.0
12,10000,9.821e-06,9.821,5.96e-06,5.96,0.000287771,287.77099999999996,0.000281393,281.39300000000003,-9.5367e-05,-95.36699999999999,0.003497362,3497.362,18.0,18.0,36.0,6.272e-06,6.272,3.338e-06,3.338,0.000187397,187.39700000000002,0.000284049,284.049,-9.1314e-05,-91.31400000000001,0.003481627,3481.627,40.0,40.0,80.0,8.768e-06,8.767999999999999,4.053e-06,4.053,0.000151634,151.634,-7.2975e-05,-72.975,-0.000347614,-347.614,0.003093004,3093.004,18.0,18.0,36.0
